Departamento,Muertes covid 2020,Muertes covid 2021,Población,Per capita 2020,Per capita 2021,Recreación 2020,Mercados y farmacias 2020,Parques 2020,Estaciones de tránsito 2020,Puestos de trabajo 2020,Residencial 2020,Recreación 2021,Mercados y farmacias 2021,Parques 2021,Estaciones de tránsito 2021,Puestos de trabajo 2021,Residencial 2021
AMAZONAS,127,132,80464,0.001578345595546,0.001640485185922,-20.3921568627451,-24.9782608695652,-50.633445945946,,-19.0107296137339,,,,-39.3547945205479,,4.4967845659164,
ANTIOQUIA,4878,12070,6782584,0.000719194926299,0.001779557761467,-37.6064235166032,-21.7650144243378,-34.4586183769282,-44.366785079929,-21.5556978233035,14.0540976988292,-0.922573933719721,20.9752252252252,-8.23701699700053,5.24542267238021,-0.847397939220034,4.85886696010223
ARAUCA,137,349,301270,0.000454741593919,0.001158429315896,-29.6283924843424,-10.8095238095238,-30.3358908780904,-38.2711409395973,-13.8127398311589,11.2144702842377,26.7368421052632,44.8006430868167,-0.996265172735761,18.3287858117326,11.5678449258837,3.67219917012448
ATLANTICO,3473,6289,2771139,0.001253275277783,0.002269463928009,-47.4693376941946,-27.4762396694215,-40.4566017885324,-47.1737731295253,-29.5246122724208,14.7039711191336,-14.1664383561644,18.8091324200913,-13.9569080408707,-11.6806318681319,3.66729475100942,7.74917801784876
BOGOTA,9977,17867,7834167,0.001273524038995,0.002280650897536,-47.2056074766355,-20.392523364486,-36.9376947040498,-40.5202492211838,-35.4984423676012,20.816199376947,-19.772602739726,14.1178082191781,-13.3808219178082,3.41643835616438,-14.241095890411,11.4493150684932
BOLIVAR,1124,1932,2213061,0.000507893817658,0.000872998981953,-52.8890134529148,-30.3917525773196,-40.7284886312974,-64.3734567901235,-26.4898060666335,15.3380281690141,-14.4589178356713,29.7090047393365,-3.26786537574919,-14.5342465753425,3.24441878367975,6.20596590909091
BOYACA,631,1953,1251675,0.000504124473206,0.001560309185691,-41.5585081585082,-19.5884016973126,-44.7720106718409,-44.1807658058771,-21.9852744310576,16.3588483146067,-4.50337331334333,41.9604221635884,-10.127538586515,14.9937743190661,7.63653383257556,8.26204523107178
CALDAS,652,1643,1027314,0.000634664766566,0.001599316275258,-46.2962962962963,-26.0542857142857,-38.1039267788603,-54.1344,-22.9898897058824,13.9358490566038,-12.6918294849023,8.78531073446328,-10.4011612562681,-4.64516129032258,-4.38781261007397,6.15200478755236
CAQUETA,543,409,414841,0.001308935230606,0.000985919906663,-40.781512605042,-11.7179054054054,-37.53,-53.4782608695652,-20.7090909090909,13.641638225256,-0.916438356164384,59.1673881673882,-6.57442922374429,-45.6666666666667,5.24265402843602,3.11780821917808
CASANARE,197,745,439238,0.000448504000109,0.001696119188231,-41.6220472440945,-21.8541329011345,-34.0615023474178,-44.611301369863,-12.9130974549969,15.613707165109,-5.29009433962264,23.6,-11.4627218934911,-14.75173370319,7.74138723013321,5.59178082191781
